pwr_log Ver: 2.1.0
HOST: xo-9a-dd-46
DATE: Tue, 20 Feb 2018 15:17:39 +0000
ECVER: 1.0.01
OFWVER: CL2 Q4D34 Q4D
MODEL: 1C2
SERNUM: CQF33600952
BATTECH: LiFe
BATMFG: BYD
BATSER: 3592c54500000093
BUILD: 13.2.0 for XO-1.75, customized (build 12)
MFGSER: 0c 02 0e 01 00
CHGCNT: 00 05
CHGSOC: 1d
DISCNT: 00 04
DISSOC: 07
DELAY: 20:
XOVER: 1.75
KERNVER: 3019
KERNAPI: 2
MFGFAC: 0a f0
COMMENT: 
<StartData>
1519139859,3,6423300,2317317,2450,3127083,Charging,0,0
1519139859,3,6460510,2345182,2457,3127500,Charging,417,0
1519139879,3,6514190,2029166,2657,3139166,Charging,12083,0
1519139900,3,6528220,1791406,2804,3150416,Charging,23333,0
1519139920,4,6592880,1858984,2886,3160416,Charging,33333,1
1519139940,4,6613010,1760677,2944,3170416,Charging,43333,1
1519139960,4,6634360,1701953,2973,3180416,Charging,53333,1
1519139980,5,6652050,1633854,2986,3189583,Charging,62500,2
1519140000,5,6672790,1602864,2987,3198750,Charging,71667,2
1519140020,5,6688040,1552864,2991,3207500,Charging,80417,2
1519140041,5,6703900,1525130,2982,3216250,Charging,89167,3
1519140061,6,6719150,1486197,2976,3224583,Charging,97500,3
1519140081,6,6725250,1427864,2962,3232500,Charging,105417,3
1519140101,6,6741720,1427604,2953,3240416,Charging,113333,4
1519140121,6,6757580,1418229,2945,3248750,Charging,121667,4
1519140141,7,6768560,1407942,2935,3256666,Charging,129583,4
1519140161,7,6773440,1389713,2930,3264583,Charging,137500,5
1519140182,7,6776490,1374739,2923,3272083,Charging,145000,5
1519140202,7,6785030,1366666,2917,3279583,Charging,152500,5
1519140222,8,6786860,1355078,2910,3287500,Charging,160417,6
1519140242,8,6787470,1348828,2912,3295000,Charging,167917,6
1519140262,8,6788690,1339453,2907,3302500,Charging,175417,6
1519140282,8,6786250,1304036,2903,3310000,Charging,182917,7
1519140302,9,6794180,1351692,2898,3317083,Charging,190000,7
1519140322,9,6796010,1343359,2897,3325000,Charging,197917,7
1519140343,9,6786860,1311067,2895,3332083,Charging,205000,8
1519140363,9,6789910,1323307,2893,3339583,Charging,212500,8
1519140383,10,6790520,1333593,2900,3347083,Charging,220000,8
1519140403,10,6792960,1330729,2902,3354583,Charging,227500,9
1519140423,10,6787470,1286458,2898,3361666,Charging,234583,9
1519140443,10,6789910,1307161,2896,3369166,Charging,242083,9
1519140463,10,6785030,1279166,2895,3376250,Charging,249167,10
1519140484,11,6786250,1287239,2898,3383750,Charging,256667,10
1519140504,11,6780150,1257421,2894,3390833,Charging,263750,10
1519140524,11,6789910,1292838,2894,3397916,Charging,270833,11
1519140544,11,6792350,1301562,2891,3405000,Charging,277917,11
1519140564,12,6796620,1309635,2898,3412083,Charging,285000,11
1519140584,12,6796620,1299869,2901,3419583,Charging,292500,12
1519140604,12,6797230,1300130,2905,3426666,Charging,299583,12
1519140624,12,6796620,1283463,2902,3434166,Charging,307083,12
1519140645,13,6775880,1191536,2905,3440833,Charging,313750,13
1519140665,13,6788690,1235416,2897,3447916,Charging,320833,13
1519140685,13,6796010,1256640,2896,3455000,Charging,327917,13
1519140705,13,6794180,1256901,2901,3461666,Charging,334583,14
1519140725,13,6804550,1283593,2901,3468750,Charging,341667,14
1519140745,14,6803940,1264062,2909,3476250,Charging,349167,14
1519140765,14,6808820,1274739,2910,3483333,Charging,356250,15
1519140786,14,6809430,1270442,2913,3490416,Charging,363333,15
1519140806,14,6810040,1268098,2918,3497500,Charging,370417,15
1519140826,15,6814310,1276562,2917,3504583,Charging,377500,16
1519140846,15,6811870,1249869,2925,3511666,Charging,384583,16
1519140866,15,6812480,1244270,2917,3518750,Charging,391667,16
1519140886,15,6802110,1120442,2920,3525416,Charging,398333,17
1519140906,15,6815530,1228125,2918,3532083,Charging,405000,17
1519140926,16,6820410,1239322,2915,3539166,Charging,412083,17
1519140947,16,6817970,1229687,2922,3546250,Charging,419167,18
1519140967,16,6819190,1222265,2920,3552916,Charging,425833,18
1519140987,16,6825900,1228906,2920,3559583,Charging,432500,18
1519141007,17,6819800,1231640,2923,3566666,Charging,439583,19
1519141027,17,6832000,1226822,2923,3573333,Charging,446250,19
1519141047,17,6832610,1227734,2926,3580416,Charging,453333,19
1519141067,17,6833830,1217447,2925,3587083,Charging,460000,20
1519141088,17,6833830,1208854,2928,3593750,Charging,466667,20
1519141108,18,6832610,1201953,2927,3600833,Charging,473750,20
1519141128,18,6834440,1186588,2926,3607500,Charging,480417,21
1519141148,18,6839930,1191666,2927,3614166,Charging,487083,21
